ID,comment,predicted_sentiment
7500,အဆုံးသတ်ကြီးကမမိုက်ဘူးကွာ💔,negative
7501,မှာလို့ရှာလိုက်ထူးဆန်းတာတွေတွေ့လိမ့်မယ်😮😮😮,neutral
7503,ယောက်ကားတွေမကောင်းဘူး😅,neutral
7504,ကိုယ်တွေဦးလေးလဲရှမ်းပြည်ကစော်လေးနဲ့ကြိုက်တာဘဲ ဒါပေမဲ့မညားဘူး😅,positive
7506,တောင်းကြိးမာ သွာလုပ်တာ ဒီဘဲကွာ😒,neutral
7507,တီးလုံးနောက်ခံ အသံ အကုန်ကျွတ်ဆင်ကြီး အကုန်အပြစ်မရှိ။,neutral
7508,မြေပြန့်သားကတောင်ပေါ်ထိပါတက်ပလေးသွားတာ😢,negative
7509,ကြီးကလဲကွာ😐,neutral
7510,လီးပဲ,neutral
7511,ကိုစောက်ရမ်းကြွေ,positive
7513,အရမ်းကြိုက်တယ်ဗျာ😊,positive
7514,ဒီသီချင်းလေးကို ကိုကိုဝေယံမြင့်လွင်နားထောင်နေရင်ငယ်မျှော်နေသေးတယ်ပြန်လာခဲ့ပါလို့ပြောချင်ပါတယ်,negative
7515,🌸ပန်းလိုပဲလှတယ်ဗျာ,positive
7516,ကလေး၂ယောက်အမေတဲ့လားကွာ,negative
7517,အသံကသေချာနားထောင်ကြည့်ရင် မန်းလေးက ဇာတ်မင်းသားဝင်းနောင်အသံနဲ့လည်းတူတယ် အခုမှ သတိထားမိတယ် မယုံရင်နားထောင်ကြည့်တကယ် တထေရာတည်း,negative
7519,နောက်တစ်ယောက်နဲ့အိမ်နောင်ကြသွားတာလား,negative
7520,စော်လေးကိုချစ်တယ်,positive
7521,ကိုရီးအဲလို မိန်းကလေးတယောက်နက်ဖက်တော့ ကိုရီးမိန်းမက မဆူဘူးလား😂🎉🎉🎉,neutral
7522,ချယ်ရိမာ အနံ့မှမရှိတာ😅,neutral
7524,သီချင်းလေးကအရမ်းကောင်းတာပဲ😊,positive
7525,စာသားအရမ်မိုက်🔥🔥😈😈,positive
7526,ဒီသီချင်းကိုဆိုချင်လွန်းလို့စာရွက်မှာရေးပြီးကျက်ရတဲ့ငါ့ဘဝ😄,negative
7529,ကြီးကွာ ရင်စက်လိုက်တာ,negative
7530,ကလေ ရှမ်းမလေးနဲ့ရသွားတာလားဗမာမလေးနဲ့ရသွားတာလား😑🤌,neutral
7531,ဒီဘဲ မှော်ဝင်နေပြီဟ,neutral
7532,ကျရင်ပြန်လာကြည့်မယ်,neutral
7533,ဇာတ်ကားတွေတင်မကဘူး သီချင်းထဲမှာတောင် မောင်တွေက မကောင်းဘူး တောင်ပေါ်ထိသွားပြီး အသဲသွားခွဲတာ 😢,negative
7534,ကချယ်၇ီ,positive
